500 {"rouge-1":0.1490903982371841, "rouge-2":0.051400721904660385, "rouge-l":0.14204065285971262}
1000 {"rouge-1":0.19760485138047257, "rouge-2":0.06996063188286744, "rouge-l":0.18272818680009473}
1500 {"rouge-1":0.1545316503263962, "rouge-2":0.05147497855296987, "rouge-l":0.14530057213672057}
2000 {"rouge-1":0.19374164676648303, "rouge-2":0.06914093213267732, "rouge-l":0.1795062339027387}
2500 {"rouge-1":0.2075288471242346, "rouge-2":0.07577563602272176, "rouge-l":0.1917543246978206}
3000 {"rouge-1":0.2109644923325662, "rouge-2":0.07608223124459147, "rouge-l":0.1937638405289623}
3500 {"rouge-1":0.21682379875333735, "rouge-2":0.07956791327462126, "rouge-l":0.1983621964258585}
4000 {"rouge-1":0.21828113325290893, "rouge-2":0.07939410217080539, "rouge-l":0.19892882096495365}
4500 {"rouge-1":0.2234456211739828, "rouge-2":0.08272319794674746, "rouge-l":0.204205026102594}
5000 {"rouge-1":0.22323555625948158, "rouge-2":0.08111375995612348, "rouge-l":0.20345634548921476}
5493 {"rouge-1":0.22358484608901436, "rouge-2":0.08178431939736047, "rouge-l":0.20417625301635584}
