{'loss': 1.5861, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.759, 'learning_rate': 6e-05, 'epoch': 0.02}
{'loss': 1.5017, 'learning_rate': 8e-05, 'epoch': 0.03}
{'loss': 1.7564, 'learning_rate': 0.0001, 'epoch': 0.03}
{'loss': 1.483, 'learning_rate': 0.00012, 'epoch': 0.04}
{'loss': 1.8021, 'learning_rate': 0.00014, 'epoch': 0.04}
{'loss': 1.7528, 'learning_rate': 0.00016, 'epoch': 0.05}
{'loss': 1.5628, 'learning_rate': 0.00018, 'epoch': 0.06}
{'loss': 1.1548, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.5249, 'learning_rate': 0.0001999777729859618, 'epoch': 0.07}
{'loss': 1.2124, 'learning_rate': 0.00019991110182465032, 'epoch': 0.08}
{'loss': 1.3864, 'learning_rate': 0.00019980001615408228, 'epoch': 0.08}
{'loss': 1.2662, 'learning_rate': 0.00019964456535631286, 'epoch': 0.09}
{'loss': 1.3024, 'learning_rate': 0.00019944481853548335, 'epoch': 0.09}
{'loss': 1.4136, 'learning_rate': 0.0001992008644871016, 'epoch': 0.1}
{'loss': 1.3971, 'learning_rate': 0.00019891281165856873, 'epoch': 0.11}
{'loss': 1.3426, 'learning_rate': 0.00019858078810097002, 'epoch': 0.11}
{'loss': 1.3011, 'learning_rate': 0.00019820494141215104, 'epoch': 0.12}
{'loss': 1.3258, 'learning_rate': 0.00019778543867110426, 'epoch': 0.13}
{'loss': 1.6377, 'learning_rate': 0.00019732246636369605, 'epoch': 0.13}
{'loss': 1.4116, 'learning_rate': 0.00019681623029976588, 'epoch': 0.14}
{'loss': 1.2367, 'learning_rate': 0.00019626695552163578, 'epoch': 0.14}
{'loss': 1.2104, 'learning_rate': 0.00019567488620406983, 'epoch': 0.15}
{'loss': 1.3148, 'learning_rate': 0.00019504028554572864, 'epoch': 0.16}
{'loss': 1.3232, 'learning_rate': 0.00019436343565216711, 'epoch': 0.16}
{'loss': 1.1477, 'learning_rate': 0.00019364463741042694, 'epoch': 0.17}
{'loss': 1.3206, 'learning_rate': 0.00019288421035528028, 'epoch': 0.18}
{'loss': 1.2917, 'learning_rate': 0.0001920824925271838, 'epoch': 0.18}
{'loss': 1.187, 'learning_rate': 0.00019123984032200586, 'epoch': 0.19}
{'loss': 1.2173, 'learning_rate': 0.00019035662833259432, 'epoch': 0.19}
{'loss': 1.3338, 'learning_rate': 0.00018943324918225494, 'epoch': 0.2}
{'loss': 1.2914, 'learning_rate': 0.00018847011335021449, 'epoch': 0.21}
{'loss': 1.302, 'learning_rate': 0.0001874676489891461, 'epoch': 0.21}
{'loss': 1.1694, 'learning_rate': 0.00018642630173483832, 'epoch': 0.22}
{'loss': 1.3159, 'learning_rate': 0.00018534653450809197, 'epoch': 0.23}
{'loss': 1.1529, 'learning_rate': 0.0001842288273089332, 'epoch': 0.23}
{'loss': 1.2031, 'learning_rate': 0.0001830736770032341, 'epoch': 0.24}
{'loss': 1.2502, 'learning_rate': 0.00018188159710183594, 'epoch': 0.25}
{'loss': 1.1577, 'learning_rate': 0.00018065311753227273, 'epoch': 0.25}
{'loss': 1.3115, 'learning_rate': 0.0001793887844031972, 'epoch': 0.26}
{'loss': 1.0768, 'learning_rate': 0.00017808915976161362, 'epoch': 0.26}
{'loss': 1.1574, 'learning_rate': 0.000176754821343025, 'epoch': 0.27}
{'loss': 1.204, 'learning_rate': 0.0001753863623146066, 'epoch': 0.28}
{'loss': 1.1328, 'learning_rate': 0.00017398439101151905, 'epoch': 0.28}
{'loss': 1.4306, 'learning_rate': 0.00017254953066647913, 'epoch': 0.29}
{'loss': 1.0274, 'learning_rate': 0.0001710824191327075, 'epoch': 0.3}
{'loss': 1.1081, 'learning_rate': 0.00016958370860037717, 'epoch': 0.3}
{'loss': 1.497, 'learning_rate': 0.0001680540653066891, 'epoch': 0.31}
{'loss': 1.3126, 'learning_rate': 0.0001664941692397025, 'epoch': 0.31}
{'loss': 1.1913, 'learning_rate': 0.00016490471383605288, 'epoch': 0.32}
{'loss': 1.1899, 'learning_rate': 0.0001632864056726917, 'epoch': 0.33}
{'loss': 1.2062, 'learning_rate': 0.00016163996415278424, 'epoch': 0.33}
{'loss': 1.2705, 'learning_rate': 0.00015996612118590603, 'epoch': 0.34}
{'loss': 1.0339, 'learning_rate': 0.00015826562086267956, 'epoch': 0.35}
{'loss': 1.136, 'learning_rate': 0.00015653921912399589, 'epoch': 0.35}
{'loss': 1.1449, 'learning_rate': 0.0001547876834249687, 'epoch': 0.36}
{'loss': 1.3141, 'learning_rate': 0.00015301179239376938, 'epoch': 0.36}
{'loss': 1.1834, 'learning_rate': 0.0001512123354854955, 'epoch': 0.37}
{'loss': 1.0625, 'learning_rate': 0.00014939011263122634, 'epoch': 0.38}
{'loss': 1.2176, 'learning_rate': 0.00014754593388242117, 'epoch': 0.38}
{'loss': 1.375, 'learning_rate': 0.00014568061905081875, 'epoch': 0.39}
{'loss': 0.9215, 'learning_rate': 0.00014379499734399798, 'epoch': 0.4}
{'loss': 1.3308, 'learning_rate': 0.00014188990699676184, 'epoch': 0.4}
{'loss': 1.2295, 'learning_rate': 0.00013996619489850822, 'epoch': 0.41}
{'loss': 1.1672, 'learning_rate': 0.00013802471621675338, 'epoch': 0.42}
{'loss': 1.2277, 'learning_rate': 0.00013606633401697557, 'epoch': 0.42}
{'loss': 1.4982, 'learning_rate': 0.0001340919188789477, 'epoch': 0.43}
{'loss': 1.0647, 'learning_rate': 0.00013210234850972964, 'epoch': 0.43}
{'loss': 1.3575, 'learning_rate': 0.0001300985073534919, 'epoch': 0.44}
{'loss': 1.0722, 'learning_rate': 0.00012808128619834461, 'epoch': 0.45}
{'loss': 1.0985, 'learning_rate': 0.00012605158178034654, 'epoch': 0.45}
{'loss': 1.2015, 'learning_rate': 0.00012401029638486953, 'epoch': 0.46}
{'loss': 1.3035, 'learning_rate': 0.0001219583374454963, 'epoch': 0.47}
{'loss': 1.2609, 'learning_rate': 0.00011989661714062999, 'epoch': 0.47}
{'loss': 1.0115, 'learning_rate': 0.0001178260519879937, 'epoch': 0.48}
{'loss': 1.1411, 'learning_rate': 0.0001157475624372018, 'epoch': 0.48}
{'loss': 1.0756, 'learning_rate': 0.0001136620724605827, 'epoch': 0.49}
{'loss': 1.3186, 'learning_rate': 0.00011157050914243614, 'epoch': 0.5}
{'loss': 1.2658, 'learning_rate': 0.00010947380226690684, 'epoch': 0.5}
{'loss': 1.2156, 'learning_rate': 0.00010737288390465792, 'epoch': 0.51}
{'loss': 1.1535, 'learning_rate': 0.00010526868799852796, 'epoch': 0.52}
{'loss': 1.0895, 'learning_rate': 0.0001031621499483559, 'epoch': 0.52}
{'loss': 1.1354, 'learning_rate': 0.00010105420619515798, 'epoch': 0.53}
{'loss': 1.0976, 'learning_rate': 9.894579380484204e-05, 'epoch': 0.53}
{'loss': 1.1598, 'learning_rate': 9.683785005164411e-05, 'epoch': 0.54}
{'loss': 1.0483, 'learning_rate': 9.473131200147205e-05, 'epoch': 0.55}
{'loss': 1.1703, 'learning_rate': 9.26271160953421e-05, 'epoch': 0.55}
{'loss': 1.2279, 'learning_rate': 9.052619773309317e-05, 'epoch': 0.56}
{'loss': 1.0985, 'learning_rate': 8.84294908575639e-05, 'epoch': 0.57}
{'loss': 1.2786, 'learning_rate': 8.633792753941733e-05, 'epoch': 0.57}
{'loss': 1.1164, 'learning_rate': 8.425243756279824e-05, 'epoch': 0.58}
{'loss': 1.1089, 'learning_rate': 8.217394801200631e-05, 'epoch': 0.58}
{'loss': 1.0934, 'learning_rate': 8.010338285937006e-05, 'epoch': 0.59}
{'loss': 1.3454, 'learning_rate': 7.804166255450373e-05, 'epoch': 0.6}
{'loss': 1.0131, 'learning_rate': 7.598970361513051e-05, 'epoch': 0.6}
{'loss': 1.2249, 'learning_rate': 7.394841821965345e-05, 'epoch': 0.61}
{'loss': 1.1205, 'learning_rate': 7.191871380165538e-05, 'epoch': 0.62}
{'loss': 1.167, 'learning_rate': 6.990149264650814e-05, 'epoch': 0.62}
{'loss': 1.2067, 'learning_rate': 6.789765149027039e-05, 'epoch': 0.63}
{'loss': 1.2807, 'learning_rate': 6.590808112105232e-05, 'epoch': 0.64}
{'loss': 1.2589, 'learning_rate': 6.393366598302446e-05, 'epoch': 0.64}
